degree,Cluster Subject 1,Cluster Subject 2,Cluster Subject 3,Cluster Subject 4,Subject 1 Requirement,Subject 2 Requirement,Institution,Programme,id,course_id,program_code,institution_name,2015,2016,2017,2018,2019,2020,2021
BACHELOR OF BUSINESS AND INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,904,102,1249206,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,,,30.616,,,,
BACHELOR OF BUSINESS AND INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,905,102,1460206,KIRIRI WOMENS UNIVERSITY OF SCIENCE AND TECHNOLOGY,23.0,,,24.221,24.554,22.361,22.544
BACHELOR OF SCIENCE (HOSPITALITY AND TOURISM MANAGEMENT),ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,983,117,1077221,KENYA METHODIST UNIVERSITY,,,,25.438,24.054,22.361,23.013
BACHELOR OF SCIENCE (HOSPITALITY AND TOURISM MANAGEMENT),ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,984,117,1117221,PWANI UNIVERSITY,,,,,,,
BACHELOR OF SCIENCE (HOSPITALITY AND TOURISM MANAGEMENT),ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,985,117,1170221,MACHAKOS UNIVERSITY,28.941,28.655,,25.015,24.826,22.361,25.757
BACHELOR OF SCIENCE (HOSPITALITY AND TOURISM MANAGEMENT),ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,986,117,1425221,ZETECH UNIVERSITY,,,,25.21,25.351,22.361,27.045
BACHELOR OF SCIENCE (HOSPITALITY AND TOURISM MANAGEMENT),ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,987,117,1580221,KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE,,25.441,,25.435,25.006,22.361,26.52
BACHELOR OF HOSPITALITY AND TOURISM MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,977,117,1061221,KABARAK UNIVERSITY,,,25.421,24.541,26.252,22.361,
BACHELOR OF HOSPITALITY AND TOURISM MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,978,117,1090221,SCOTT CHRISTIAN UNIVERSITY,23.0,23.813,,25.671,24.16,22.361,22.544
BACHELOR OF HOSPITALITY AND TOURISM MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,979,117,1166221,SOUTH EASTERN KENYA UNIVERSITY,,,,,,22.361,
BACHELOR OF SUSTAINABLE TOURISM AND HOSPITALITY MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,988,117,1173221,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,32.514,29.025,26.18,24.499,25.728,22.361,26.114
BACHELOR OF HOTELS AND HOSPITALITY MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,996,118,1118222,UNIVERSITY OF KABIANGA,30.996,25.128,,24.66,24.731,22.361,23.984
BACHELOR OF HOTELS AND HOSPITALITY MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,997,118,1165222,MAASAI MARA UNIVERSITY,32.792,27.38,24.602,24.58,25.271,22.361,26.827
BACHELOR OF HOTELS AND HOSPITALITY MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,998,118,1253222,MOI UNIVERSITY,37.299,29.975,28.09,25.997,29.147,22.361,27.586
BACHELOR OF HOTEL & HOSPITALITY MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,990,118,1087222,KISII UNIVERSITY,,,,,,,22.544
BACHELOR OF HOTEL & HOSPITALITY MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,991,118,1114222,UNIVERSITY OF ELDORET,32.004,27.797,,24.653,25.348,22.361,26.952
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,992,118,1073222,RONGO UNIVERSITY,,25.094,,24.614,24.828,22.361,22.544
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,993,118,1087387,KISII UNIVERSITY,27.016,26.059,,27.186,23.976,22.361,22.544
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,994,118,1244222,KARATINA UNIVERSITY,31.512,26.799,,24.604,24.146,22.361,25.004
BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,995,118,1600222,ALUPE UNIVERSITY COLLEGE,,24.951,,29.959,25.964,22.361,22.544
BACHELOR OF TECHNOLOGY IN HOTEL & HOSPITALITY MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF TECHNOLOGY IN HOTEL & HOSPITALITY MANAGEMENT,1012,121,1063225,TECHNICAL UNIVERSITY OF MOMBASA,33.482,24.266,25.213,24.629,24.688,22.361,24.417
"BACHELOR OF SCIENCE (ECO-TOURISM, HOTEL AND INSTITUTION MANAGEMENT, WITH IT)",ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,999,119,1229223,MASENO UNIVERSITY,34.708,29.757,24.586,25.911,,,
"BACHELOR OF SCIENCE (ECO-TOURISM, HOTEL AND INSTITUTION MANAGEMENT, WITH IT)",ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,1000,119,1229387,MASENO UNIVERSITY,,,,,26.277,,
"BACHELOR OF SCIENCE (ECO-TOURISM, HOTEL AND INSTITUTION MANAGEMENT, WITH IT)",ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,1001,119,1515223,TOM MBOYA UNIVERSITY COLLEGE,,24.422,,24.612,24.182,22.361,22.544
BACHELOR OF SCIENCE IN ECOTOURISM,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,1003,119,1105223,CHUKA UNIVERSITY,29.97,27.528,25.073,24.483,25.01,22.361,24.647
BACHELOR OF SCIENCE IN ECOTOURISM,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,1004,119,1685223,THARAKA UNIVERSITY COLLEGE,,,,,28.934,,
BACHELOR OF TOURISM AND HOSPITALITY MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,1005,119,1087223,KISII UNIVERSITY,31.868,26.211,,24.503,23.88,22.361,22.544
BACHELOR OF SCIENCE (ECOTOURISM & HOSPITALITY MANAGEMENT),ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,1002,119,1057223,EGERTON UNIVERSITY,36.152,29.863,25.236,26.259,26.621,22.361,26.373
BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,1006,120,1061224,KABARAK UNIVERSITY,,,,,,22.361,26.223
BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,1007,120,1077224,KENYA METHODIST UNIVERSITY,28.139,25.477,,25.297,24.068,22.361,22.544
BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,1008,120,1088224,GRETSA UNIVERSITY,23.0,24.442,,25.454,25.425,22.361,23.61
BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,1009,120,1170224,MACHAKOS UNIVERSITY,,,,27.192,,,
BACHELOR OF SCIENCE IN HOSPITALITY MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,ALUPE UNIVERSITY COLLEGE,BACHELOR OF HOTEL AND HOSPITALITY MANAGEMENT,1010,120,1279224,MOUNT KENYA UNIVERSITY,29.097,25.19,,24.658,26.924,25.288,29.029
BACHELOR OF SCIENCE IN LIBRARY AND INFORMATION SCIENCE,ENG,MAT A,BIO,BIO,MAT A: C,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF SCIENCE IN LIBRARY AND INFORMATION SCIENCE,1063,129,1057233,EGERTON UNIVERSITY,,26.497,27.223,24.983,23.99,24.176,22.544
BACHELOR OF SCIENCE IN LIBRARY AND INFORMATION SCIENCE,ENG,MAT A,BIO,BIO,MAT A: C,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF SCIENCE IN LIBRARY AND INFORMATION SCIENCE,1064,129,1170233,MACHAKOS UNIVERSITY,,,,25.938,25.182,,22.544
BACHELOR OF SCIENCE IN LIBRARY AND INFORMATION SCIENCE,ENG,MAT A,BIO,BIO,MAT A: C,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF SCIENCE IN LIBRARY AND INFORMATION SCIENCE,1065,129,1480233,CATHOLIC UNIVERSITY OF EAST AFRICA,23.0,25.822,,25.324,25.102,22.361,22.544
BACHELOR OF LIBRARY AND INFORMATION SCIENCE,ENG,MAT A,BIO,BIO,MAT A: C,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF SCIENCE IN LIBRARY AND INFORMATION SCIENCE,1059,129,1093233,UNIVERSITY OF EMBU,,25.003,,24.761,25.319,22.361,22.544
BACHELOR OF LIBRARY AND INFORMATION STUDIES,ENG,MAT A,BIO,BIO,MAT A: C,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF SCIENCE IN LIBRARY AND INFORMATION SCIENCE,1060,129,1169233,KENYA HIGHLANDS EVANGELICAL UNIVERSITY,23.0,,,24.089,,22.361,22.544
BACHELOR OF LIBRARY AND INFORMATION STUDIES,ENG,MAT A,BIO,BIO,MAT A: C,,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF SCIENCE IN LIBRARY AND INFORMATION SCIENCE,1061,129,1176233,LAIKIPIA UNIVERSITY,23.0,24.109,,25.083,25.564,22.361,22.544
BACHELOR OF TRAVEL & TOURS MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF TOURISM AND TRAVEL MANAGEMENT,1073,130,1246234,MURANGA UNIVERSITY OF TECHNOLOGY,,,27.658,27.643,24.67,22.361,22.544
BACHELOR OF TRAVEL AND TOURS OPERATIONS MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF TOURISM AND TRAVEL MANAGEMENT,1071,130,1087234,KISII UNIVERSITY,31.285,25.457,,24.38,24.521,22.361,22.544
BACHELOR OF TRAVEL AND TOURS OPERATIONS MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF TOURISM AND TRAVEL MANAGEMENT,1072,130,1253234,MOI UNIVERSITY,34.728,27.655,25.634,26.338,26.838,22.361,25.557
BACHELOR OF LOGISTICS AND SUPPLY CHAIN MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA NAZARENE UNIVERSITY,BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,1143,144,1053248,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,,24.983,,24.229,25.055,22.361,22.544
BACHELOR OF INTERNATIONAL TOURISM MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,CO-OPERATIVE UNIVERSITY OF KENYA,BACHELOR OF TOURISM AND TRAVEL MANAGEMENT,1074,131,1053235,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,23.0,24.228,,24.314,24.942,22.361,23.951
BACHELOR OF PURCHASING & SUPPLIES MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA NAZARENE UNIVERSITY,BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,1134,143,1057249,EGERTON UNIVERSITY,40.529,35.14,31.041,30.714,30.303,24.333,22.544
BACHELOR OF PURCHASING & SUPPLIES MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA NAZARENE UNIVERSITY,BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,1135,143,1173247,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,37.11,26.401,24.888,27.751,27.072,24.342,22.544
BACHELOR OF PURCHASING & SUPPLIES MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA NAZARENE UNIVERSITY,BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,1136,143,1685247,THARAKA UNIVERSITY COLLEGE,,,,24.733,23.966,,
BACHELOR OF PROCUREMENT AND SUPPLIES MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA NAZARENE UNIVERSITY,BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,1150,145,1079247,KIRINYAGA UNIVERSITY,,24.45,,24.195,24.266,22.361,22.544
BACHELOR PURCHASING AND SUPPLIES MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA NAZARENE UNIVERSITY,BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,1149,145,1093249,UNIVERSITY OF EMBU,,24.588,,24.739,24.611,22.361,22.544
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,1109,140,1060244,RIARA UNIVERSITY,27.87,22.689,28.285,31.264,32.95,28.507,27.628
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,1110,140,1063244,TECHNICAL UNIVERSITY OF MOMBASA,33.706,31.213,28.985,29.186,26.348,27.235,22.544
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,1111,140,1068244,PAN AFRICA CHRISTIAN UNIVERSITY,,27.853,,25.559,25.16,22.361,22.544
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,1112,140,1077244,KENYA METHODIST UNIVERSITY,23.0,23.753,,24.144,24.231,22.361,22.544
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,1113,140,1078244,AFRICA NAZARENE UNIVERSITY,23.0,25.372,26.141,27.78,29.785,28.333,29.114
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,1114,140,1079206,KIRINYAGA UNIVERSITY,,23.834,,24.454,24.702,22.361,22.544
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,1115,140,1090244,SCOTT CHRISTIAN UNIVERSITY,23.0,32.367,,24.627,24.232,22.361,22.544
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,1116,140,1091244,TAITA TAVETA UNIVERSITY,23.0,21.331,,24.352,24.414,22.361,22.544
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,1117,140,1093244,UNIVERSITY OF EMBU,,,,,24.93,22.361,22.544
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,1118,140,1107244,ST PAULS UNIVERSITY,23.0,25.774,,25.091,24.95,22.361,
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,1119,140,1164244,MULTIMEDIA UNIVERSITY OF KENYA,38.062,34.932,31.551,31.813,33.044,33.447,28.828
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,1120,140,1166244,SOUTH EASTERN KENYA UNIVERSITY,28.171,25.158,,24.757,25.053,22.361,22.544
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,1121,140,1169244,KENYA HIGHLANDS EVANGELICAL UNIVERSITY,,,,24.344,,22.361,22.544
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,1122,140,1173244,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,34.615,32.078,30.61,29.084,30.73,30.851,29.512
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,1123,140,1181244,"UNIVERSITY OF EASTERN AFRICA, BARATON",23.0,24.249,,26.264,24.208,22.361,22.544
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,1124,140,1240244,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,31.931,27.929,25.729,25.006,25.01,24.722,22.544
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,1125,140,1246244,MURANGA UNIVERSITY OF TECHNOLOGY,25.036,24.822,25.151,24.915,24.41,24.573,22.544
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,1126,140,1249244,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,40.799,38.836,33.516,32.879,34.232,34.831,33.351
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,1127,140,1279244,MOUNT KENYA UNIVERSITY,23.0,23.247,25.782,26.635,28.925,29.698,29.834
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,1128,140,1425244,ZETECH UNIVERSITY,23.0,22.753,,25.131,24.424,22.361,22.544
BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,ENG,MAT A,BIO,BIO,MAT A: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF BUSINESS INFORMATION TECHNOLOGY,1129,140,1500244,THE EAST AFRICAN UNIVERSITY,23.0,25.654,,24.318,23.905,22.361,22.544
BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA NAZARENE UNIVERSITY,BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,1145,145,1078249,AFRICA NAZARENE UNIVERSITY,31.098,23.492,,24.647,24.574,22.361,22.544
BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA NAZARENE UNIVERSITY,BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,1146,145,1166249,SOUTH EASTERN KENYA UNIVERSITY,36.668,27.177,,24.444,25.171,22.361,22.544
BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA NAZARENE UNIVERSITY,BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,1147,145,1169249,KENYA HIGHLANDS EVANGELICAL UNIVERSITY,,28.179,,24.87,,22.361,22.544
BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA NAZARENE UNIVERSITY,BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,1148,145,1229245,MASENO UNIVERSITY,,,25.196,27.014,28.019,24.88,22.544
BACHELOR OF PURCHASING AND SUPPLIES MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA NAZARENE UNIVERSITY,BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,1137,143,1080247,CO-OPERATIVE UNIVERSITY OF KENYA,,,,,24.985,22.361,22.544
BACHELOR OF PURCHASING AND SUPPLIES MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA NAZARENE UNIVERSITY,BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,1138,143,1087247,KISII UNIVERSITY,34.841,26.898,,24.764,24.822,22.361,22.544
BACHELOR OF PURCHASING AND SUPPLIES MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA NAZARENE UNIVERSITY,BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,1139,143,1091247,TAITA TAVETA UNIVERSITY,28.26,24.339,,24.868,24.566,22.361,22.544
BACHELOR OF PURCHASING AND SUPPLIES MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA NAZARENE UNIVERSITY,BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,1140,143,1240247,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,,24.84,25.384,25.104,24.855,22.361,
BACHELOR OF SCIENCE (PROCUREMENT AND SUPPLIES MANAGEMENT),ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA NAZARENE UNIVERSITY,BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,1151,145,1246249,MURANGA UNIVERSITY OF TECHNOLOGY,32.04,24.948,25.201,24.033,24.097,22.361,22.544
BACHELOR OF PURCHASING AND SUPPLY CHAIN MANAGEMENT,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA NAZARENE UNIVERSITY,BACHELOR OF PROCUREMENT AND SUPPLY CHAIN MANAGEMENT,1163,151,1425255,ZETECH UNIVERSITY,23.0,24.594,,24.326,24.467,22.361,22.544
BACHELOR OF ENTREPRENEURSHIP,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN ENTREPRENEURSHIP,1242,173,1079297,KIRINYAGA UNIVERSITY,23.0,25.087,,,,,
BACHELOR OF ENTREPRENEURSHIP,ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN ENTREPRENEURSHIP,1243,173,1249298,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,37.66,30.984,24.847,24.146,24.357,22.361,22.544
BACHELOR OF SCIENCE (ENTREPRENEURSHIP AND SMALL ENTERPRISES MANAGEMENT),ENG,MAT A,BIO,BIO,MAT A: C,,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN ENTREPRENEURSHIP,1244,173,1246298,MURANGA UNIVERSITY OF TECHNOLOGY,23.0,23.966,25.754,26.395,24.241,22.361,22.544
