degree,Cluster Subject 1,Cluster Subject 2,Cluster Subject 3,Cluster Subject 4,Subject 1 Requirement,Subject 2 Requirement,Institution,Programme,id,course_id,program_code,institution_name,2015,2016,2017,2018,2019,2020,2021
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),180,15,1279115,MOUNT KENYA UNIVERSITY,,,,,,,37.646
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),181,15,1425115,ZETECH UNIVERSITY,,,,,,,19.223
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),182,15,1460115,KIRIRI WOMENS UNIVERSITY OF SCIENCE AND TECHNOLOGY,29.37,27.949,,23.373,26.266,19.481,19.223
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),183,15,1470115,KAIMOSI FRIENDS UNIVERSITY COLLEGE,,,,,,19.481,19.223
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),184,15,1480115,CATHOLIC UNIVERSITY OF EAST AFRICA,28.25,26.553,28.085,29.909,30.832,32.812,33.279
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),185,15,1485115,UMMA UNIVERSITY,28.009,26.531,,24.91,25.604,19.481,19.223
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),143,15,1057115,EGERTON UNIVERSITY,42.207,39.399,38.035,37.208,38.559,38.76,35.309
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),144,15,1073115,RONGO UNIVERSITY,32.134,31.699,26.233,25.013,24.943,19.481,19.223
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),145,15,1078115,AFRICA NAZARENE UNIVERSITY,28.575,26.695,27.142,33.178,35.161,36.409,37.504
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE),146,15,1079115,KIRINYAGA UNIVERSITY,,23.743,24.825,24.126,24.879,24.931,19.223
