degree,Cluster Subject 1,Cluster Subject 2,Cluster Subject 3,Cluster Subject 4,Subject 1 Requirement,Subject 2 Requirement,Institution,Programme
"BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT, WITH IT)",MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE (AGRIBUSINESS)
BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS & RESOURCE MANAGEMENT),MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS & RESOURCE MANAGEMENT)
BACHELOR OF SCIENCE AGRIBUSINESS MANAGEMENT,MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE (AGRIBUSINESS)
BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS AND RESOURCE MANAGEMENT),MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS & RESOURCE MANAGEMENT)
BACHELOR OF SCIENCE (AGRICULTURAL RESOURCE MANAGEMENT),MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS & RESOURCE MANAGEMENT)
BACHELOR OF SCIENCE ( AGRICULTURAL ECONOMICS AND RESOURCE MANAGEMENT),MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS & RESOURCE MANAGEMENT)
BACHELOR OF SCIENCE (AGRICULTURE ECONOMICS & RESOURCE MANAGEMENT),MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS & RESOURCE MANAGEMENT)
BACHELOR OF SCIENCE IN AGRICULTURE ECONOMICS & RESOURCE MANAGEMENT,MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS & RESOURCE MANAGEMENT)
BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS,MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS & RESOURCE MANAGEMENT)
BACHELOR OF SCIENCE IN AGRICULTURAL ECONOMICS,MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS & RESOURCE MANAGEMENT)
BACHELOR OF SCIENCE IN AGRIBUSINESS MANAGEMENT AND MARKETING,MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE (AGRIBUSINESS)
"BACHELOR OF SCIENCE ( AGRICULTURAL ECONOMICS, WITH IT)",MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS & RESOURCE MANAGEMENT)
BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS),MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,BOMET UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (AGRICULTURAL ECONOMICS & RESOURCE MANAGEMENT)
BACHELOR OF SCIENCE IN AGRIBUSINESS MANAGEMENT,MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE (AGRIBUSINESS)
BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT),MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE (AGRIBUSINESS)
BACHELOR OF AGRIBUSINESS MANAGEMENT,MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE (AGRIBUSINESS)
